Id,Neighborhood,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,TotalBsmtSF,GrLivArea,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,Fireplaces,GarageCars,GarageArea,LotFrontage,LotArea,MasVnrArea,CentralAir,Heating,Electrical,Foundation,Exterior1st,Exterior2nd,RoofStyle,SaleCondition,MoSold,YrSold,SalePrice
954,NewWest,BasementSuite,4.0,5.0,1953,2006,1228.4089049107927,840.7813154443323,3.0,1.0,3.0,1.0,6.0,0.0,2.0,872.449383829759,88.33210287368566,12781.29514843642,258.61663926542354,N,Radiant,FuseP,CBlock,Brick,Brick,Asphalt,AdjLand,8.0,2022.0,165637.88964213786
955,Delta,Duplex,6.0,6.0,1988,1959,1376.0626232411903,2072.955631965347,2.0,1.0,3.0,1.0,5.0,0.0,3.0,473.5542940836714,,6931.751013125135,228.5617008477028,Y,Electric,SBrkr,BrkTil,Vinyl,Vinyl,Metal,AdjLand,,2020.0,187790.31322674066
956,NorthVan,Duplex,7.0,7.0,1974,1988,972.8055414125539,1053.153015940105,2.0,1.0,2.0,1.0,6.0,0.0,2.0,752.1902933082613,108.17551631121478,9071.9071188858,137.05552761870305,Y,Radiant,FuseF,CBlock,Vinyl,Vinyl,Asphalt,AdjLand,7.0,2020.0,138179.55254991053
957,Richmond,Townhouse,9.0,5.0,2012,1999,1007.000518444922,1204.9577007143287,2.0,1.0,1.0,0.0,3.0,2.0,2.0,738.3451670344061,,10989.556018795434,82.54794194722558,Y,HeatPump,FuseA,BrkTil,Wood,Wood,Cedar,AdjLand,2.0,2022.0,194729.6406261135
958,Delta,BasementSuite,5.0,5.0,2013,2008,1334.0687008474017,2450.5479248665806,2.0,1.0,3.0,1.0,9.0,1.0,2.0,566.4468305130331,65.13094709440662,14527.4802367515,103.25114171539492,Y,Electric,FuseA,Stone,Wood,Wood,TorchOn,Partial,7.0,2024.0,185120.34689277664
959,Surrey,Townhouse,4.0,4.0,1941,2015,1298.913793890855,1243.241533160207,3.0,2.0,3.0,1.0,10.0,2.0,3.0,,,6495.6720327486255,0.0,Y,Gas,Mix,PConc,Brick,Brick,Asphalt,Abnorml,5.0,2019.0,217914.72380201967
960,NewWest,Condo,5.0,6.0,1960,1985,612.9660136835805,2318.6714050392206,1.0,1.0,1.0,1.0,5.0,1.0,3.0,348.3289185950832,62.65600642365713,10509.036996034929,0.0,N,HeatPump,FuseF,PConc,Stucco,Stucco,Cedar,Normal,5.0,2021.0,154956.5603339593
961,Langley,Duplex,4.0,5.0,2034,1954,1094.6714087689866,2474.8554041848615,3.0,1.0,5.0,1.0,6.0,3.0,0.0,739.2704696092537,37.880978913285404,9818.515545567818,225.71349279761307,Y,HeatPump,FuseA,PConc,Vinyl,Vinyl,Asphalt,AdjLand,1.0,2021.0,231227.16924122145
962,Surrey,Townhouse,8.0,7.0,1935,2000,1215.8432809482492,1062.0534965375275,3.0,1.0,3.0,0.0,5.0,1.0,4.0,681.1523976169591,97.58250121373476,15135.89617573731,98.51587448292372,Y,HeatPump,SBrkr,BrkTil,Wood,Wood,Asphalt,Abnorml,6.0,2021.0,199121.27035010673
963,Burnaby,BasementSuite,8.0,7.0,1993,1987,1004.3947812511559,1869.3894883944936,2.0,0.0,5.0,1.0,5.0,2.0,1.0,492.615638173429,56.39928793065494,11609.584949055235,29.88213254175946,Y,HeatPump,FuseP,Stone,Stucco,Stucco,Metal,AdjLand,6.0,2021.0,262340.18953279546
964,Burnaby,BasementSuite,6.0,5.0,1986,2020,1182.624647989164,1737.3296282063611,2.0,0.0,4.0,0.0,,0.0,3.0,627.9388858970134,69.19830773475466,10107.032685566859,190.03170350812852,Y,Electric,FuseA,BrkTil,Vinyl,Vinyl,TorchOn,Abnorml,6.0,2020.0,146650.85710582553
965,NewWest,BasementSuite,8.0,5.0,1944,1995,1019.2020132540065,1896.0773363678527,2.0,1.0,4.0,0.0,9.0,0.0,2.0,655.1927316148577,38.94173368637797,13045.525775745757,107.86120407014073,Y,HeatPump,Mix,Stone,Vinyl,Vinyl,Metal,Abnorml,3.0,2020.0,174216.85756097312
966,Richmond,Townhouse,6.0,5.0,1945,2020,263.6371696155245,2084.6505751679056,,0.0,2.0,1.0,6.0,2.0,0.0,566.9959267150896,69.37262171135131,11696.851467575152,152.50848472092335,Y,HeatPump,Mix,PConc,Brick,Brick,Metal,Abnorml,8.0,2019.0,124995.61220543321
967,Burnaby,Detached,,6.0,2025,1976,591.1879960097418,592.131576945595,2.0,0.0,4.0,0.0,4.0,2.0,2.0,964.4947855873415,47.21287007787144,15192.06032292869,,Y,Radiant,SBrkr,BrkTil,Brick,Brick,Cedar,Abnorml,4.0,2022.0,168750.1889044531
968,NorthVan,Condo,6.0,6.0,2024,-9223372036854775808,1391.2445519674866,1790.8597138719626,2.0,2.0,2.0,0.0,5.0,1.0,3.0,224.16310719255137,79.2022081454687,13540.513203196353,19.144028013088146,Y,Radiant,FuseF,CBlock,Brick,Brick,Asphalt,AdjLand,6.0,2020.0,140325.7874605816
969,Langley,BasementSuite,6.0,,1982,1993,964.466912352184,1846.8771021423638,3.0,0.0,3.0,0.0,8.0,0.0,2.0,555.0191846322664,100.58508667871318,14004.620579011644,,Y,Gas,SBrkr,BrkTil,Wood,Wood,Asphalt,Abnorml,5.0,2022.0,199762.2195951632
970,Burnaby,BasementSuite,4.0,5.0,1928,2000,1116.3918483348511,1258.5599309744964,2.0,1.0,4.0,1.0,7.0,2.0,,213.2892124508512,68.93101198447842,4795.726278995827,94.99065084521239,Y,Gas,FuseF,Stone,Vinyl,Vinyl,TorchOn,Abnorml,7.0,2019.0,210895.50768530593
971,Coquitlam,Detached,6.0,4.0,2007,1947,1048.7201189530813,1970.9285581448046,2.0,2.0,3.0,1.0,3.0,1.0,2.0,333.99349408958903,97.09746817627656,11127.21105205077,0.0,Y,Electric,FuseA,Slab,Wood,Wood,Asphalt,AdjLand,7.0,2021.0,179382.898548741
972,Richmond,Condo,6.0,6.0,1928,2017,761.1455954099763,2118.780330724603,3.0,1.0,3.0,0.0,5.0,1.0,0.0,563.9278993089446,108.7718905840687,12421.327513283682,208.65503535863667,N,Gas,SBrkr,CBlock,Brick,Brick,Asphalt,Normal,10.0,2022.0,136804.77455867192
973,NewWest,Detached,7.0,4.0,1991,1985,886.5225348619296,1257.5364762046593,3.0,0.0,,1.0,6.0,1.0,1.0,223.83218337698594,87.43225238975057,15780.775240381696,87.2917413760718,Y,HeatPump,FuseA,Slab,Stucco,Stucco,TorchOn,Normal,7.0,2024.0,123889.9597218874
974,Langley,Condo,6.0,6.0,1921,2002,1165.1323168933586,849.1073239795126,1.0,1.0,4.0,1.0,7.0,1.0,3.0,533.9485399717606,85.24036895303192,9844.008914810558,169.2580425026828,Y,Radiant,FuseF,BrkTil,Brick,Brick,TorchOn,AdjLand,5.0,2018.0,178403.4000049918
975,NewWest,Condo,6.0,5.0,1970,1981,1200.8486474940128,,2.0,1.0,3.0,1.0,10.0,1.0,2.0,589.317771661654,,13859.92196666062,,Y,Gas,FuseA,Stone,Stucco,Stucco,Metal,Normal,10.0,2020.0,145799.57560139277
976,Burnaby,Condo,5.0,8.0,1996,2018,1815.9433146681106,1088.126814980698,3.0,0.0,3.0,1.0,6.0,0.0,3.0,557.099678122665,89.09134451810743,9946.994811686083,13.166359808137457,Y,Electric,FuseA,PConc,Brick,Brick,Asphalt,AdjLand,2.0,2021.0,135806.07333185239
977,Langley,BasementSuite,6.0,5.0,1885,1995,882.7902374278357,833.1203100193835,4.0,1.0,3.0,2.0,5.0,1.0,2.0,932.1675137908464,92.56911589922109,17576.40281497704,156.03111883898646,Y,Gas,Mix,CBlock,Brick,Brick,Asphalt,Normal,7.0,2020.0,211655.60864339478
978,NorthVan,Detached,7.0,5.0,1954,1993,1634.7237054140621,1599.1290032529275,2.0,2.0,2.0,0.0,7.0,1.0,4.0,792.8647482955768,43.73194029207394,14534.31466693381,0.0,Y,Radiant,FuseP,CBlock,Vinyl,Vinyl,TorchOn,AdjLand,10.0,2021.0,223717.84808554768
979,Coquitlam,Duplex,4.0,3.0,1974,2037,748.8547909848122,400.0,0.0,2.0,5.0,1.0,6.0,0.0,2.0,536.7071775973018,70.42153495503035,11589.9743252494,6.644082119000075,Y,HeatPump,FuseP,Slab,Stucco,Stucco,Asphalt,Partial,11.0,2020.0,142894.87798321637
980,Richmond,Detached,6.0,7.0,1959,1927,1221.0100678108754,1540.3533349947163,0.0,1.0,4.0,1.0,6.0,1.0,2.0,700.8507508075102,44.383565041402576,15861.342010921617,173.31080502743703,N,HeatPump,FuseF,Slab,Wood,Wood,Metal,Partial,6.0,2021.0,194957.6036296084
981,Burnaby,Detached,6.0,5.0,1949,1979,1112.255416836142,1918.303501395476,1.0,1.0,3.0,0.0,7.0,0.0,4.0,566.8925156773009,,7344.557873641081,78.31061737830966,Y,HeatPump,FuseP,Slab,Brick,Brick,Asphalt,Partial,8.0,2022.0,121070.54328070312
982,Richmond,Detached,5.0,8.0,1965,1986,1005.9470570886849,1221.0043214793457,1.0,1.0,2.0,1.0,7.0,2.0,1.0,,98.98704585633384,13446.069874853669,149.1717068366761,Y,Radiant,FuseF,Stone,Brick,Brick,Cedar,Abnorml,3.0,2020.0,157539.32616111907
983,Burnaby,BasementSuite,5.0,5.0,2001,1969,1048.019541848053,1764.784227785818,3.0,2.0,2.0,0.0,5.0,2.0,2.0,494.380473479134,90.31049283273815,12262.795777682644,319.68390157546355,Y,HeatPump,FuseP,PConc,Brick,Brick,TorchOn,Abnorml,9.0,2021.0,159074.37981281194
984,NorthVan,BasementSuite,6.0,5.0,2011,1998,832.0847528329384,1739.999819037214,4.0,1.0,4.0,1.0,7.0,0.0,1.0,678.0380651148878,,7647.105150667037,14.19329775219596,Y,Gas,FuseA,PConc,Stucco,Stucco,TorchOn,Normal,2.0,2022.0,234637.22910110164
985,NorthVan,Detached,4.0,4.0,1991,1956,1366.366594412346,1752.874205798454,3.0,1.0,3.0,2.0,3.0,1.0,0.0,639.8257718338352,58.60977664157037,11480.813470618505,130.29842312861882,Y,HeatPump,SBrkr,BrkTil,Vinyl,Vinyl,Cedar,AdjLand,7.0,2024.0,157121.40960396093
986,Langley,Duplex,7.0,6.0,-9223372036854775808,1957,755.084735793882,1298.1840831065651,3.0,1.0,4.0,1.0,7.0,0.0,2.0,625.4471541732001,,14091.744811840883,139.68656149160557,Y,HeatPump,FuseA,Stone,Vinyl,Vinyl,Asphalt,AdjLand,8.0,2021.0,325123.6347005679
987,Downtown,Duplex,5.0,6.0,1953,2000,1161.1340721102129,1518.895182841371,3.0,1.0,2.0,1.0,6.0,2.0,3.0,954.3559434768866,51.99784616588842,5685.3609207630925,248.615418746584,Y,Radiant,FuseA,Slab,Wood,Wood,Metal,Normal,1.0,2022.0,151315.23716375267
988,Richmond,BasementSuite,8.0,3.0,1987,1967,1314.550416752083,1592.527665891601,2.0,0.0,3.0,2.0,3.0,0.0,1.0,811.1305589639328,36.47695781136392,11205.194564623618,134.43802416658284,N,HeatPump,FuseF,PConc,Wood,Wood,Asphalt,Abnorml,5.0,2022.0,180655.71801960282
989,Delta,Condo,10.0,4.0,1939,2002,1534.4710826857017,1536.7846797866678,1.0,1.0,3.0,1.0,8.0,0.0,4.0,599.581499171811,101.83094251140017,12326.039873844236,2.2877053570760637,Y,HeatPump,SBrkr,Stone,Stucco,Stucco,Asphalt,Abnorml,7.0,2021.0,198731.20605613134
990,Langley,Duplex,5.0,6.0,2057,1975,1390.119314114292,1417.6469592661438,3.0,2.0,2.0,1.0,5.0,2.0,2.0,255.64360412298197,62.96918509963755,11318.904481552418,0.0,Y,Electric,FuseF,PConc,Vinyl,Vinyl,Asphalt,Abnorml,7.0,2020.0,121967.49443431164
991,Coquitlam,BasementSuite,7.0,4.0,1973,1969,1250.3503062392035,2403.087560427322,2.0,1.0,5.0,1.0,9.0,1.0,2.0,358.83384540698074,79.32143033264212,9594.24475575234,187.41638523075721,Y,Electric,FuseF,Stone,Wood,Wood,TorchOn,Abnorml,6.0,2020.0,88697.43702813453
992,NorthVan,BasementSuite,5.0,4.0,1994,1965,826.7938128975024,1662.2932606470438,3.0,1.0,3.0,1.0,6.0,2.0,2.0,678.5812148465989,26.572942047993735,10685.62276568778,98.87077672962009,Y,Electric,FuseA,Stone,Brick,Brick,Cedar,Normal,1.0,2021.0,242126.55361010105
993,NewWest,Townhouse,8.0,5.0,1917,1966,774.978696692755,1707.7306197221187,2.0,2.0,3.0,1.0,5.0,1.0,2.0,727.1793697513158,48.20061690244523,12265.639472369396,167.79583936875946,N,Gas,FuseP,PConc,Stucco,Stucco,Asphalt,Abnorml,3.0,2022.0,122302.0214073139
994,Downtown,Detached,4.0,5.0,1993,1979,651.497390204612,887.8660630094869,2.0,0.0,1.0,1.0,6.0,2.0,4.0,418.78944152654253,48.84449581399666,11437.467356922076,0.0,Y,Electric,FuseP,Slab,Vinyl,Vinyl,Metal,Abnorml,7.0,2020.0,259522.7443513614
995,Surrey,Duplex,7.0,4.0,1973,1970,618.0070507006391,2650.2590076601136,1.0,1.0,4.0,2.0,5.0,0.0,3.0,848.23159931083,64.02407906218637,8360.915049877163,262.1635014243702,N,Radiant,SBrkr,PConc,Vinyl,Vinyl,Cedar,Partial,9.0,2022.0,195925.2095445265
996,Downtown,Townhouse,5.0,8.0,1983,1986,1049.5085866494799,1939.8801116207917,2.0,1.0,2.0,1.0,4.0,0.0,3.0,629.4571937526607,68.51930304872215,8635.062881625136,112.4316364108607,Y,Radiant,Mix,Stone,Stucco,Stucco,Asphalt,Normal,7.0,2021.0,231743.82127542119
997,Delta,Townhouse,6.0,5.0,1970,1943,795.4041541717173,1667.0101431828396,1.0,1.0,1.0,1.0,7.0,2.0,1.0,739.4202083820961,38.46399159411129,9032.906507768887,228.4630552281342,Y,HeatPump,Mix,Stone,Wood,Wood,TorchOn,Partial,7.0,2022.0,139678.68764277027
998,Langley,Condo,4.0,3.0,1966,1968,1469.7289720713597,2360.2197173388527,0.0,1.0,4.0,1.0,4.0,1.0,3.0,449.5077934728487,48.79149008501007,7572.51107740562,30.5301797204051,Y,Electric,FuseA,Stone,Brick,Brick,Asphalt,Partial,3.0,2021.0,199832.1100250563
999,Delta,BasementSuite,7.0,3.0,1960,2021,847.3634429538499,910.8175266448936,1.0,2.0,4.0,1.0,5.0,1.0,3.0,717.3563052803449,87.07493295281003,11058.906655992614,88.52745454253676,Y,Electric,FuseA,CBlock,Brick,Brick,Asphalt,AdjLand,6.0,2021.0,321138.0350967472
1000,Langley,Townhouse,5.0,7.0,1967,1958,1082.9895430800889,950.3232624739095,2.0,0.0,4.0,1.0,7.0,1.0,2.0,355.10073063047525,54.97800144210258,13309.330983475944,202.4734808494617,Y,Radiant,SBrkr,CBlock,Brick,Brick,Asphalt,Abnorml,1.0,2018.0,181716.11896587082
1001,Richmond,Townhouse,7.0,3.0,2014,1973,957.3746810459398,2028.1982433304229,0.0,0.0,1.0,2.0,7.0,2.0,0.0,389.3912716518923,84.0813389496796,13359.125802783165,0.0,Y,Gas,Mix,CBlock,Brick,Brick,Asphalt,Partial,7.0,2022.0,175612.90410256654
1002,NorthVan,Detached,5.0,5.0,1958,2020,558.6498969155473,2128.7803711941806,4.0,1.0,3.0,1.0,6.0,2.0,2.0,639.6359704317978,52.92197975129198,10731.881194737547,3.0016882362510273,N,HeatPump,SBrkr,Slab,Vinyl,Vinyl,TorchOn,Abnorml,3.0,2022.0,122991.41039393646
1003,NorthVan,Detached,6.0,4.0,2037,1988,1431.3042910531115,573.0114618083528,1.0,0.0,1.0,1.0,3.0,1.0,1.0,303.392066077182,105.94372541425393,6848.880151130217,131.72349327665898,Y,Radiant,FuseF,BrkTil,Stucco,Stucco,TorchOn,Partial,5.0,2020.0,133003.45191569097
1004,Downtown,Duplex,6.0,5.0,1971,1946,1293.4187296257476,1006.3353896800094,3.0,1.0,2.0,1.0,7.0,2.0,2.0,252.991942373603,86.49764534187126,8991.069174540446,186.0648140327828,Y,Radiant,FuseF,Stone,Stucco,Stucco,Cedar,Partial,4.0,2022.0,179933.23978200552
1005,Surrey,Detached,5.0,,2011,2004,1333.6827311230668,742.9236140940596,0.0,1.0,3.0,1.0,3.0,0.0,1.0,171.6978970965851,77.56313586777723,10504.49674269704,68.20326733027986,Y,Radiant,FuseF,BrkTil,Stucco,Stucco,Cedar,Abnorml,9.0,2020.0,196689.51600887248
1006,NorthVan,Townhouse,6.0,3.0,2004,2019,1258.2313310871339,1984.1689256988066,1.0,1.0,4.0,1.0,8.0,0.0,4.0,284.418021124201,65.16861629758955,7715.603480361342,0.0,Y,Gas,FuseP,CBlock,Stucco,Stucco,TorchOn,AdjLand,9.0,2020.0,173873.2843209394
1007,Burnaby,Condo,8.0,4.0,1923,1989,784.180237751708,1547.8493293688448,3.0,1.0,3.0,1.0,10.0,1.0,,284.79034299763566,67.59427824295406,7013.7731189939295,300.050688969542,Y,Gas,SBrkr,Slab,Brick,Brick,Metal,Normal,7.0,2021.0,168165.01267728212
1008,Langley,Duplex,5.0,4.0,1929,1976,790.9828621671279,1729.767071992634,2.0,1.0,4.0,1.0,9.0,3.0,1.0,212.9896540887666,67.86574875037255,10863.789662716059,234.3924179206844,Y,Radiant,SBrkr,Slab,Wood,Wood,Asphalt,Partial,9.0,2023.0,219674.70410781767
1009,Richmond,Townhouse,8.0,4.0,1949,1946,1208.1956744175905,980.2644203742053,2.0,1.0,2.0,1.0,5.0,2.0,1.0,767.0585130185277,77.2043427430726,8126.807769321927,64.94943590771163,N,Radiant,FuseF,CBlock,Vinyl,Vinyl,Metal,Abnorml,9.0,2022.0,169229.9858353783
1010,Downtown,BasementSuite,8.0,4.0,1923,1977,1590.0218480944704,1631.400162074892,4.0,2.0,2.0,1.0,4.0,0.0,4.0,305.2280195618998,81.72384508109887,10888.786843298032,226.11312899669406,N,Radiant,SBrkr,Stone,Wood,Wood,Metal,AdjLand,6.0,2018.0,211803.13587660895
1011,NorthVan,Duplex,5.0,4.0,1957,1958,1185.0926142451196,728.4270166925863,1.0,1.0,3.0,1.0,8.0,1.0,1.0,427.2923684928942,107.29981982822262,11046.258048575943,204.86925422862757,N,HeatPump,Mix,Slab,Vinyl,Vinyl,Cedar,Normal,3.0,2021.0,231100.99023442448
1012,Coquitlam,Condo,4.0,6.0,1970,1989,1392.4633368978405,1912.538991572621,3.0,1.0,3.0,1.0,6.0,3.0,2.0,397.71110410535255,85.95520011196741,13542.04185540247,0.0,Y,Electric,FuseA,Stone,Stucco,Stucco,TorchOn,Normal,8.0,2019.0,196217.398493885
1013,Richmond,Condo,6.0,4.0,1989,2010,865.9446836957303,2399.5412407558524,2.0,2.0,3.0,1.0,7.0,1.0,2.0,687.8889294386802,70.56265556298086,8282.50929123501,17.621170487739107,Y,Electric,FuseA,Stone,Stucco,Stucco,TorchOn,Abnorml,1.0,2023.0,207762.92062097494
1014,Delta,Townhouse,5.0,6.0,1975,1965,1434.2478184894935,400.0,1.0,1.0,4.0,1.0,8.0,1.0,3.0,246.679182135285,53.732055046158024,2266.8920008704463,0.0,Y,Radiant,SBrkr,CBlock,Wood,Wood,Cedar,AdjLand,11.0,2022.0,137233.72847708588
1015,Coquitlam,Townhouse,9.0,6.0,1970,2007,903.1860627528288,2189.2384540846206,0.0,2.0,4.0,2.0,5.0,0.0,4.0,353.592872379654,59.64293909968282,10315.119338062566,0.0,Y,Radiant,FuseP,CBlock,Wood,Wood,Metal,AdjLand,9.0,2023.0,134377.3036710219
1016,Surrey,Detached,6.0,3.0,2000,1946,1134.0557449361697,1450.8825746608384,0.0,0.0,3.0,2.0,7.0,1.0,3.0,497.27221569900854,,9466.044358251103,217.7978232028409,Y,HeatPump,Mix,CBlock,Wood,Wood,Asphalt,Partial,1.0,2022.0,215703.6059361396
1017,Coquitlam,Detached,5.0,4.0,1996,1983,921.8436166174151,1677.4472658246987,2.0,2.0,3.0,1.0,4.0,0.0,2.0,222.8066845617173,101.31293000167457,6585.070288346202,0.0,Y,HeatPump,Mix,CBlock,Brick,Brick,TorchOn,Abnorml,7.0,2023.0,204982.38098718243
1018,Delta,Townhouse,4.0,5.0,2027,1939,1361.2046607869129,1307.892136762376,2.0,1.0,3.0,0.0,3.0,0.0,0.0,513.3250114514161,67.44036856377494,8026.690375018197,166.03445205448867,Y,Radiant,FuseP,Slab,Stucco,Stucco,Asphalt,AdjLand,6.0,2019.0,264213.3058485313
1019,Coquitlam,Duplex,8.0,5.0,1975,1994,1365.966696249799,,1.0,1.0,3.0,0.0,10.0,3.0,0.0,830.1210185937741,40.7164632671022,14478.829818893177,0.0,Y,Radiant,SBrkr,CBlock,Stucco,Stucco,Asphalt,AdjLand,8.0,2021.0,206875.07013563332
1020,Surrey,BasementSuite,5.0,5.0,1897,2018,533.1266219498908,2337.1187680584735,2.0,2.0,5.0,1.0,4.0,0.0,2.0,888.3608321257711,,11276.933942112544,0.0,Y,Gas,SBrkr,CBlock,Vinyl,Vinyl,TorchOn,AdjLand,2.0,2020.0,99939.54227212253
1021,Surrey,Condo,6.0,7.0,1982,1979,1513.854241977763,1187.088978101819,2.0,1.0,3.0,1.0,4.0,1.0,1.0,585.1077987675665,,7756.270146801107,39.42717562626286,Y,Radiant,FuseA,BrkTil,Wood,Wood,Asphalt,Normal,8.0,2019.0,207076.2724601633
1022,Delta,BasementSuite,7.0,5.0,2038,1994,1881.7432174657179,2271.0296475752225,2.0,0.0,3.0,2.0,2.0,3.0,2.0,518.2142603167765,,11404.280083266685,156.48720231545184,N,HeatPump,Mix,BrkTil,Brick,Brick,Metal,AdjLand,4.0,2020.0,180221.82094553087
1023,NorthVan,Duplex,5.0,6.0,2000,1977,,1899.7986924398704,1.0,1.0,4.0,2.0,9.0,1.0,1.0,145.72700255136766,22.04125978512753,11148.118516951668,84.3277286894337,Y,HeatPump,FuseA,CBlock,Stucco,Stucco,Asphalt,AdjLand,1.0,2023.0,169401.06506697187
1024,NewWest,Townhouse,6.0,,2007,1998,1005.6194499178722,1384.438877442522,3.0,1.0,5.0,0.0,7.0,2.0,3.0,626.6392214226081,49.139249883964254,8628.644033627874,0.0,Y,Radiant,Mix,Stone,Wood,Wood,Cedar,Normal,5.0,2023.0,202594.63120083668
1025,Delta,Duplex,6.0,,1972,2010,1483.8004279840534,2356.935658101437,3.0,1.0,2.0,1.0,10.0,0.0,0.0,485.09898132165836,,,210.71903244658094,Y,HeatPump,Mix,CBlock,Brick,Brick,Asphalt,Abnorml,10.0,,212539.26794013975
1026,Delta,BasementSuite,7.0,8.0,1997,1989,1073.3686093570004,1480.5090458452066,2.0,1.0,2.0,1.0,4.0,0.0,1.0,399.04532068306605,60.37937702986347,7393.178243057797,255.74896484426966,Y,Gas,FuseF,BrkTil,Brick,Brick,Cedar,Abnorml,7.0,2020.0,65287.017601763786
1027,Coquitlam,BasementSuite,7.0,6.0,2009,1976,1048.608991488417,2161.095297053564,2.0,1.0,2.0,1.0,6.0,1.0,0.0,400.5486415209756,89.7621324076649,8533.472580504183,58.389546086982975,Y,Electric,SBrkr,PConc,Vinyl,Vinyl,Asphalt,AdjLand,7.0,2022.0,170424.7527178853
1028,Downtown,Condo,6.0,7.0,1959,1997,1713.9390568605945,2128.4349970504195,3.0,1.0,1.0,2.0,6.0,0.0,1.0,617.190118517379,64.01411684763023,15112.19385193074,0.0,Y,Radiant,FuseP,CBlock,Vinyl,Vinyl,Cedar,Abnorml,3.0,2021.0,195623.18395096046
1029,Richmond,BasementSuite,6.0,5.0,1954,2035,575.9959935071905,869.5969322555026,2.0,0.0,3.0,0.0,6.0,0.0,3.0,452.5739390095546,66.62525197362854,11693.877152946689,221.97418603439223,Y,Electric,FuseP,PConc,Brick,Brick,TorchOn,Normal,3.0,2023.0,122318.65107503392
1030,NorthVan,Detached,5.0,6.0,1983,1997,773.8629044531949,1115.77026701443,1.0,1.0,5.0,1.0,7.0,1.0,2.0,686.4941455927656,53.44089478269929,11131.01719131501,0.0,Y,Electric,Mix,PConc,Wood,Wood,Metal,Abnorml,10.0,2023.0,167819.34240302627
1031,Delta,Condo,4.0,7.0,1999,1958,1196.2380477445504,1403.709194756138,0.0,2.0,4.0,2.0,7.0,2.0,2.0,1170.3659612778392,98.41038290038692,10172.864493322128,95.70580814720688,Y,HeatPump,FuseP,Slab,Wood,Wood,Cedar,AdjLand,2.0,2024.0,213403.6047462339
1032,Richmond,Condo,6.0,5.0,1887,2037,483.1593921435049,1414.2343022203368,1.0,2.0,3.0,1.0,7.0,1.0,1.0,307.7854931391099,47.68263496350727,7051.684545651371,211.6027863110529,Y,Electric,FuseA,BrkTil,Wood,Wood,Cedar,AdjLand,6.0,2020.0,123086.5743691601
1033,Surrey,Condo,9.0,5.0,1964,1969,919.4467858089278,1731.070180346902,1.0,2.0,4.0,1.0,7.0,2.0,1.0,272.4955366610276,20.0,14256.847043275011,1.4530423291408425,Y,Electric,Mix,BrkTil,Vinyl,Vinyl,TorchOn,Normal,3.0,2020.0,220208.72212578804
1034,Coquitlam,BasementSuite,5.0,3.0,1911,1970,916.2420294736706,646.7346363687677,1.0,,5.0,1.0,7.0,3.0,1.0,781.1649485582991,57.43369092134371,12259.030967788733,110.02164402259942,Y,HeatPump,FuseF,BrkTil,Stucco,Stucco,Metal,AdjLand,7.0,2018.0,198907.60281383846
1035,Richmond,Townhouse,5.0,5.0,1966,2015,1386.6208370778104,1478.9134381256622,2.0,2.0,3.0,1.0,3.0,0.0,3.0,486.52767583527725,59.296066777402096,17006.82327193603,234.05838984462548,Y,Gas,FuseP,Slab,Vinyl,Vinyl,TorchOn,Abnorml,2.0,2023.0,161868.5352659246
1036,Richmond,Duplex,5.0,6.0,2020,1979,1292.4985620756718,1778.2160916189127,2.0,1.0,3.0,1.0,7.0,1.0,2.0,504.23992745608444,71.43462027555836,9887.505122598295,159.21353475610283,Y,Gas,SBrkr,Slab,Wood,Wood,Asphalt,AdjLand,5.0,2021.0,198583.83597720054
1037,Downtown,Detached,7.0,4.0,1951,2002,460.8704629097373,1934.0217647847182,2.0,1.0,2.0,1.0,9.0,0.0,2.0,387.78462595329813,52.6708727996925,6184.145279294377,247.38655162667368,Y,Electric,Mix,PConc,Vinyl,Vinyl,TorchOn,Partial,7.0,2023.0,233960.8597613029
1038,Burnaby,Duplex,7.0,3.0,1961,2000,807.4068304104078,1210.8069422208816,1.0,1.0,4.0,1.0,6.0,0.0,4.0,475.51086389337354,97.96890947410873,7208.450076981853,167.2282596794564,N,Electric,FuseP,Slab,Vinyl,Vinyl,Cedar,AdjLand,7.0,2024.0,139685.11025035134
1039,Downtown,Detached,6.0,5.0,1989,2001,808.4803005672396,991.4011200297741,0.0,1.0,5.0,1.0,7.0,2.0,1.0,440.403281056321,87.90494675318494,7669.045344416419,155.7881705065891,Y,Electric,Mix,PConc,Stucco,Stucco,Metal,Normal,5.0,2023.0,90121.52187624789
1040,Surrey,BasementSuite,5.0,5.0,1999,2026,974.1984431373808,1337.8490620028638,3.0,1.0,4.0,0.0,6.0,2.0,3.0,407.2790660765631,70.15873476710851,6968.860459671369,0.0,Y,Electric,SBrkr,PConc,Wood,Wood,TorchOn,Normal,7.0,2020.0,242554.96702513212
1041,Richmond,Duplex,6.0,3.0,1998,1983,665.8584836367285,1774.0412661203939,3.0,1.0,2.0,2.0,6.0,0.0,1.0,521.1604497240376,72.06289745740303,9439.652399998688,150.930239603453,Y,Gas,FuseP,Slab,Brick,Brick,TorchOn,Partial,8.0,2023.0,256383.25821296877
